word index,english,hiragana,kanji,date_added,rank,sample,is_active,grade,streak,level,total_attempts,total_successes,total_fails,success_ratio,age,reset
0,house,いえ,家,09/05/2020,1,1,0,N5,10,expert,19.0,19.0,0.0,1.0,346,0
1,(someone's) house,おたく,お宅,09/05/2020,1,1,0,N4,10,expert,12.0,12.0,0.0,1.0,346,0
2,nervous,ふあん,不安,09/05/2020,2,1,0,N3,10,expert,17.0,17.0,0.0,1.0,346,0
3,class,じゅぎょう,授業,09/05/2020,3,1,0,N5,10,expert,55.0,45.0,10.0,0.8181818181818182,346,0
4,to lend,かす,貸す,09/05/2020,2,1,0,N5,10,expert,42.0,35.0,7.0,0.8333333333333334,346,0
5,karate,からて,空手,09/05/2020,2,1,0,NX,10,expert,26.0,26.0,0.0,1.0,346,0
6,kimono,きもの,着物,09/05/2020,2,1,0,N4,10,expert,27.0,25.0,2.0,0.9259259259259259,346,0
7,strict,きびしい,厳しい,09/05/2020,5,1,1,N4,9,expert,61.0,47.0,14.0,0.7704918032786885,346,0
8,Korea,かんこく,韓国,09/05/2020,2,1,0,NX,10,expert,38.0,32.0,6.0,0.8421052631578947,346,0
9,decision,けってい,決定,09/05/2020,2,1,0,N3,10,expert,34.0,31.0,3.0,0.9117647058823529,346,0
10,(black) tea,こうちゃ,紅茶,09/05/2020,2,1,0,N5,10,expert,26.0,24.0,2.0,0.9230769230769231,346,0
11,in the end,けっきょく,結局,09/05/2020,2,1,0,N3,10,expert,17.0,17.0,0.0,1.0,346,0
12,as a matter of fact,じつは,実は,09/05/2020,1,1,0,N3,10,expert,29.0,25.0,4.0,0.8620689655172413,346,0
13,to be moved by,かんどうする,感動する,09/05/2020,4,1,0,N3,10,expert,21.0,20.0,1.0,0.9523809523809523,346,0
14,all,ぜんぶ,全部,09/05/2020,2,1,1,N5,9,expert,39.0,31.0,8.0,0.7948717948717948,346,0
15,older brother,あに,兄,09/05/2020,1,1,0,N5,10,expert,17.0,17.0,0.0,1.0,346,0
16,landlord,おおやさん,大家さん,09/05/2020,1,1,0,NX,10,expert,15.0,15.0,0.0,1.0,346,0
17,return,おかえし,お返し,09/05/2020,1,1,0,NX,10,expert,34.0,28.0,6.0,0.8235294117647058,346,0
18,promise,やくそく,約束,09/05/2020,1,1,0,N4,10,expert,16.0,16.0,0.0,1.0,346,0
19,to keep (a promise),まもる,守る,09/05/2020,2,1,0,N3,10,expert,24.0,23.0,1.0,0.9583333333333334,346,0
