word index,english,hiragana,kanji,date_added,rank,sample,is_active
0,house,いえ,家,09/05/2020,1,1,0
1,(someone's) house,おたく,お宅,09/05/2020,1,1,0
2,nervous,ふあん,不安,09/05/2020,2,1,0
3,class,じゅぎょう,授業,09/05/2020,3,1,1
4,to lend,かす,貸す,09/05/2020,2,1,0
5,karate,からて,空手,09/05/2020,2,1,0
6,kimono,きもの,着物,09/05/2020,2,1,0
7,strict,きびしい,厳しい,09/05/2020,2,1,1
8,Korea,かんこく,韓国,09/05/2020,2,1,1
9,decision,けってい,決定,09/05/2020,2,1,0
10,(black) tea,こうちゃ,紅茶,09/05/2020,2,1,0
11,in the end,けっきょく,結局,09/05/2020,2,1,0
12,as a matter of fact,じつは,実は,09/05/2020,1,1,0
13,to be moved by,かんどうする,感動する,09/05/2020,4,1,0
14,all,ぜんぶ,全部,09/05/2020,2,1,1
15,older brother,あに,兄,09/05/2020,1,1,0
16,landlord,おおやさん,大家さん,09/05/2020,1,1,0
17,return,おかえし,お返し,09/05/2020,1,1,0
18,promise,やくそく,約束,09/05/2020,1,1,0
19,to keep (a promise),まもる,守る,09/05/2020,2,1,0
20,scared,こわい,怖い,09/05/2020,1,1,0
21,red,あか,赤,09/05/2020,1,1,0
22,blue,あお,青,09/05/2020,1,1,0
23,grammar,ぶんぽう,文法,09/05/2020,1,1,1
24,spicy,からい,辛い,09/05/2020,1,1,1
25,elephant,ぞう,象,09/05/2020,1,1,0
26,sad,かなしい,悲しい,09/05/2020,1,1,0
27,lawyer ,べんごし,弁護士,09/05/2020,3,1,0
28,shop,みせ,店,09/05/2020,1,1,0
29,wife,おくさん,奥さん,09/05/2020,1,1,1
30,plate,さら,皿,09/05/2020,1,1,0
31,married couple,ふうふ,夫婦,09/05/2020,3,1,1
32,comic book,まんが,漫画,09/05/2020,2,1,1
33,ring,ゆびわ,指輪,09/05/2020,4,1,1
34,sky,そら,空,09/05/2020,1,1,0
35,garden,にわ,庭,09/05/2020,1,1,0
36,musical instrument,がっき,楽器,09/05/2020,3,1,0
37,milky way,あまのがわ,天の川,09/05/2020,1,1,0
38,parents,りょうしん,両親,09/05/2020,2,1,0
39,to brush teeth,みがく,磨く,09/05/2020,3,1,0
40,battery,でんち,電池,09/05/2020,2,1,0
41,spring,はる,春,09/05/2020,1,1,0
42,summer,なつ,夏,09/05/2020,1,1,1
43,winter,ふゆ,冬,09/05/2020,1,1,0
44,autumn,あき,秋,09/05/2020,1,1,0
45,east,ひがし,東,09/05/2020,1,1,1
46,north,きた,北,09/05/2020,1,1,0
47,west ,にし,西,09/05/2020,1,1,0
48,south,みなみ,南,09/05/2020,1,1,0
49,train,でんしゃ,電車,09/05/2020,1,1,0
50,green,みどり,緑,09/05/2020,2,1,0
51,black,くろ,黒,09/05/2020,1,1,0
52,white,しろ,白,09/05/2020,1,1,0
53,appointment/reservation,よやく,予約,09/05/2020,2,1,0
54,same,おなじ,同じ,10/05/2020,1,1,0
55,to look good (on someone),にあう,似合う,10/05/2020,1,1,0
56,husband,ごしゅじん,ご主人,10/05/2020,1,1,1
57,to want,ほしい,欲しい,10/05/2020,1,1,0
58,to send,おくる,送る,10/05/2020,1,1,1
59,resume,りれきしょ,履歴書,10/05/2020,5,1,1
60,to consult,そうだん,相談,11/05/2020,4,1,1
61,painting,え,絵,11/05/2020,1,1,1
62,movie theatre,えいがかん,映画館,11/05/2020,2,1,1
63,foreigner,がいこくじん,外国人,11/05/2020,1,1,0
64,furniture,かぐ,家具,11/05/2020,2,1,1
65,experience,けいけん,経験,12/05/2020,3,1,0
66,spacious,ひろい,広い,12/05/2020,1,1,0
67,to withdraw (money),おろす,下ろす,21/05/2020,2,1,0
68,wedding,けっこんしき,結婚式,13/05/2020,5,1,1
69,earthquake,じしん,地震,13/05/2020,4,1,1
70,deadline,しめきり,締め切り,13/05/2020,5,1,0
71,custom,しゅうかん,習慣,13/05/2020,3,1,1
72,tax,ぜいきん,税金,15/05/2020,3,1,1
73,graduation ceremony,そつぎょうしき,卒業式,15/05/2020,5,1,1
74,map,ちず,地図,15/05/2020,3,1,1
75,presentation,はっぴょう,発表,15/05/2020,4,1,1
76,broadcast program,ばんぐみ,番組,15/05/2020,4,1,0
77,discount coupon,わりびきけん,割引券,16/05/2020,5,1,1
78,japanese inn,りょかん,旅館,16/05/2020,3,1,0
79,insurance,ほけん,保険,16/05/2020,3,1,1
80,to sell,うる,売る,16/05/2020,1,1,0
81,plan; schedule,よてい,予定,16/05/2020,2,1,0
82,eyes,め,目,17/05/2020,1,1,0
83,mouth,くち,口,17/05/2020,1,1,0
